Observation,Data_Marking,ValueDomain,Obs_Type,Obs_Type_Value,Unit_of_Measure_Eng,Geographic_Area,Time,Time_Type,CDID,Dimension_1,Dimension_Value_1,Dimension_2,Dimension_Value_2,Dimension_3,Dimension_Value_3
1,,Count,,,,E07000011,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
953,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
499,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
454,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
282,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
62,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
220,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
438,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
249,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
189,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
206,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
167,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
39,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
27,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
21,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
6,,Count,,,,E07000012,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
889,,Count,,,,E07000012,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
464,,Count,,,,E07000012,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
425,,Count,,,,E07000012,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
276,,Count,,,,E07000012,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
60,,Count,,,,E07000012,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
216,,Count,,,,E07000012,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
403,,Count,,,,E07000012,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
232,,Count,,,,E07000012,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
171,,Count,,,,E07000012,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
187,,Count,,,,E07000012,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
155,,Count,,,,E07000012,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
32,,Count,,,,E07000012,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
23,,Count,,,,E07000012,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
17,,Count,,,,E07000012,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
6,,Count,,,,E07000012,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
64,,Count,,,,E07000012,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
35,,Count,,,,E07000012,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
29,,Count,,,,E07000012,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
6,,Count,,,,E07000012,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
2,,Count,,,,E07000012,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
4,,Count,,,,E07000012,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
35,,Count,,,,E07000012,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
17,,Count,,,,E07000012,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
18,,Count,,,,E07000012,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
19,,Count,,,,E07000012,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
12,,Count,,,,E07000012,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
7,,Count,,,,E07000012,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
4,,Count,,,,E07000012,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
4,,Count,,,,E07000012,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000012,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
2501,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
1046,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
1455,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
614,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
139,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
475,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
1217,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
473,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
744,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
628,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
392,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
236,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
42,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
42,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000071,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
2306,,Count,,,,E07000071,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
969,,Count,,,,E07000071,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
1337,,Count,,,,E07000071,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
541,,Count,,,,E07000071,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
124,,Count,,,,E07000071,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
417,,Count,,,,E07000071,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
1123,,Count,,,,E07000071,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
432,,Count,,,,E07000071,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
691,,Count,,,,E07000071,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
601,,Count,,,,E07000071,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
372,,Count,,,,E07000071,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
229,,Count,,,,E07000071,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
41,,Count,,,,E07000071,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
41,,Count,,,,E07000071,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000071,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
195,,Count,,,,E07000071,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
77,,Count,,,,E07000071,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
118,,Count,,,,E07000071,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
73,,Count,,,,E07000071,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
15,,Count,,,,E07000071,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
58,,Count,,,,E07000071,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
94,,Count,,,,E07000071,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
41,,Count,,,,E07000071,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
53,,Count,,,,E07000071,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
27,,Count,,,,E07000071,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
20,,Count,,,,E07000071,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
7,,Count,,,,E07000071,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
1,,Count,,,,E07000071,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
1,,Count,,,,E07000071,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000071,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
454,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
265,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
189,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
149,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
34,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
115,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
202,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
137,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
65,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
100,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
91,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
9,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
3,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
3,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000077,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
441,,Count,,,,E07000077,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
255,,Count,,,,E07000077,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
186,,Count,,,,E07000077,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
147,,Count,,,,E07000077,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
33,,Count,,,,E07000077,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
114,,Count,,,,E07000077,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
192,,Count,,,,E07000077,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
129,,Count,,,,E07000077,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
63,,Count,,,,E07000077,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
99,,Count,,,,E07000077,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
90,,Count,,,,E07000077,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
9,,Count,,,,E07000077,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
3,,Count,,,,E07000077,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
3,,Count,,,,E07000077,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000077,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
13,,Count,,,,E07000077,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
10,,Count,,,,E07000077,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
3,,Count,,,,E07000077,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
2,,Count,,,,E07000077,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
1,,Count,,,,E07000077,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
1,,Count,,,,E07000077,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
10,,Count,,,,E07000077,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
8,,Count,,,,E07000077,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
2,,Count,,,,E07000077,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
1,,Count,,,,E07000077,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
1,,Count,,,,E07000077,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E07000077,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
0,,Count,,,,E07000077,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
0,,Count,,,,E07000077,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000077,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
215,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
213,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
2,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
33,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
33,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
30,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
30,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
125,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
124,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
1,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
27,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
26,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
1,,Count,,,,E07000098,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
199,,Count,,,,E07000098,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
197,,Count,,,,E07000098,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
2,,Count,,,,E07000098,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
28,,Count,,,,E07000098,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
28,,Count,,,,E07000098,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
27,,Count,,,,E07000098,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
27,,Count,,,,E07000098,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
118,,Count,,,,E07000098,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
117,,Count,,,,E07000098,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
1,,Count,,,,E07000098,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
26,,Count,,,,E07000098,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
25,,Count,,,,E07000098,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
1,,Count,,,,E07000098,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
16,,Count,,,,E07000098,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
16,,Count,,,,E07000098,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
5,,Count,,,,E07000098,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
5,,Count,,,,E07000098,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
3,,Count,,,,E07000098,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
3,,Count,,,,E07000098,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
7,,Count,,,,E07000098,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
7,,Count,,,,E07000098,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
1,,Count,,,,E07000098,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
1,,Count,,,,E07000098,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000098,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
283,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
198,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
85,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
38,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
27,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
11,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
79,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
46,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
33,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
133,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
95,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
38,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
33,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
30,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
3,,Count,,,,E07000102,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
244,,Count,,,,E07000102,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
174,,Count,,,,E07000102,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
70,,Count,,,,E07000102,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
31,,Count,,,,E07000102,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
24,,Count,,,,E07000102,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
7,,Count,,,,E07000102,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
65,,Count,,,,E07000102,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
37,,Count,,,,E07000102,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
28,,Count,,,,E07000102,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
120,,Count,,,,E07000102,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
88,,Count,,,,E07000102,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
32,,Count,,,,E07000102,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
28,,Count,,,,E07000102,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
25,,Count,,,,E07000102,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
3,,Count,,,,E07000102,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
39,,Count,,,,E07000102,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
24,,Count,,,,E07000102,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
15,,Count,,,,E07000102,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
7,,Count,,,,E07000102,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
3,,Count,,,,E07000102,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
4,,Count,,,,E07000102,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
14,,Count,,,,E07000102,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
9,,Count,,,,E07000102,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
5,,Count,,,,E07000102,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
13,,Count,,,,E07000102,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
7,,Count,,,,E07000102,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
6,,Count,,,,E07000102,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
5,,Count,,,,E07000102,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
5,,Count,,,,E07000102,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000102,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
1057,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
850,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
207,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
267,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
137,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
130,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
393,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
321,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
72,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
320,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
315,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
5,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
77,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
77,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000143,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
958,,Count,,,,E07000143,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
755,,Count,,,,E07000143,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
203,,Count,,,,E07000143,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
254,,Count,,,,E07000143,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
124,,Count,,,,E07000143,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
130,,Count,,,,E07000143,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
349,,Count,,,,E07000143,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
281,,Count,,,,E07000143,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
68,,Count,,,,E07000143,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
288,,Count,,,,E07000143,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
283,,Count,,,,E07000143,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
5,,Count,,,,E07000143,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
67,,Count,,,,E07000143,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
67,,Count,,,,E07000143,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000143,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
99,,Count,,,,E07000143,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
95,,Count,,,,E07000143,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
4,,Count,,,,E07000143,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
